Loan_ID,Debt_to_Income_Ratio,Loan_to_Value_Ratio,Annual_Income,Loan_Amount,Interest_Rate,Loan_Term_Years,Subordination,Collateral_Value,Sector,Region,Assigned_Credit_Rating
1,0.2872700594236812,1.0109988176929794,80815.04700475081,372069.8255432097,5.910107916696271,7.0,2,819982.8079425391,Agriculture,South-East Asia,Aa2
2,0.5753571532049581,0.6291583969190981,46119.02177754986,441145.4281726769,7.365401952544995,7.0,3,153817.06476021488,Manufacturing,South Asia,A3
3,0.4659969709057026,0.7426477860589203,51481.068245276714,234274.03831260547,9.730187301399024,3.0,3,946999.1573522124,Retail,South America,B1
4,0.3993292420985183,0.9642964458004728,60714.091790756705,148143.47217833676,7.536236218898369,7.0,3,844791.8740940754,Agriculture,Eastern Europe,A3
5,0.17800932022121826,0.8374625411671359,64621.066842041226,162829.05430595344,9.63214254280022,3.0,3,919664.7652510024,Utilities,South Asia,Caa1
6,0.17799726016810133,1.0169997270444258,71184.50756579249,349989.387890375,5.869410234426878,7.0,2,292787.96284259565,Energy,North Africa,Aa1
7,0.12904180608409974,1.1728455308560017,73428.20492379405,285941.2268257906,5.047021824659469,15.0,3,342214.23975498986,Healthcare,Oceania,Aa1
8,0.5330880728874676,0.5815826814006382,107471.77873288111,245814.59483374227,6.778335087355773,15.0,5,475226.1801987669,Finance,East Asia,A2
9,0.40055750587160444,0.9966974014786426,116627.44244042701,105373.16899420615,8.121681696954568,3.0,5,231958.659911476,Telecommunications,Central Asia,Baa2
10,0.4540362888980227,0.6612409089424802,82509.46538148052,438350.56531195715,9.256886133694442,7.0,2,470768.3631288011,Utilities,Central Asia,B3
11,0.11029224714790123,0.7901337091852985,184240.39138652378,391605.121516166,8.633158162700632,0.5,4,19109.66872016865,Agriculture,Western Europe,B1
12,0.5849549260809972,0.5230039080565979,124033.75296762228,74616.10786091865,10.089071698663378,15.0,3,878761.2052946365,Utilities,South-East Asia,Ca
13,0.5162213204002108,0.5951351676048893,163871.07776567913,186857.28502805764,5.729202924743081,3.0,2,170671.09975049802,Telecommunications,Western Europe,A1
14,0.20616955533913808,0.7238441023342298,187120.43151154337,273355.3863512512,5.970773560451603,7.0,4,505839.3506193671,Technology,Oceania,A2
15,0.19091248360355031,0.7393900637015894,57732.96947788689,229897.61827190834,8.514649238814009,3.0,2,929538.2278009682,Healthcare,East Asia,B1
16,0.19170225492671691,1.129709651523467,102738.66223165787,201908.9401751805,7.907365213694185,7.0,4,822772.7171854903,Manufacturing,Central Asia,Baa2
17,0.25212112147976884,1.0192690364865604,103645.76829148349,360821.789292462,6.25604416514458,7.0,2,778363.3322718011,Consumer Goods,East Asia,A1
18,0.36237821581611895,1.1805280777309286,90260.28257452021,31979.234597729537,10.80140737867932,3.0,2,609391.1829151671,Healthcare,Eastern Europe,Caa3
19,0.3159725093210579,0.9193500572346683,31513.99731377879,238348.11786734124,10.98409240201297,7.0,4,441910.75102547946,Agriculture,Western Europe,Caa3
20,0.24561457009902096,0.6691996124639226,168715.25832227615,134779.93674285267,5.4856824875714025,3.0,1,451576.9973282474,Transportation,Western Europe,A1
21,0.40592644736118977,0.72935852094515,48965.08466416348,46886.100691205684,8.692560230631672,15.0,2,96095.94697452761,Energy,South America,Ba2
22,0.16974693032602092,0.723885146304377,199231.70164669902,235119.14321146795,4.196513747240044,3.0,3,74138.09573706402,Technology,Northern Europe,Aaa
23,0.24607232426760908,0.728546029364276,161402.94362490086,89827.50207993152,10.300329047818854,7.0,4,845004.1337677782,Transportation,Northern Europe,Ca
